return_pct,sharpe,max_dd,trades,trades_per_day,win_rate,avg_win,avg_loss,profit_factor,n_days,symbol,strategy,train_sharpe,val_sharpe,val_return,val_trades,val_wr,overfit,verdict,p_move_threshold_pct,p_entry_bar_idx,p_stop_pct,p_confirm_bars,p_rsi_floor,p_stop_atr_mult,p_min_bars_before_entry
448.47,2.4744,4.6,550,0.22,75.1,0.647,0.634,3.078,2511,US.TQQQ,Rebalance_2pm,2.3411,2.7298,88.27,209.0,78.5,-16.603306138140184,PASS,1.5,48.0,1.0,,,,
374.96,2.0286,5.76,550,0.22,75.5,0.646,0.758,2.618,2511,US.TQQQ,Rebalance_2pm,1.9556,2.1661,76.74,209.0,78.5,-10.763959910002052,PASS,1.5,48.0,1.5,,,,
329.07,1.7396,7.56,550,0.22,75.5,0.646,0.836,2.374,2511,US.TQQQ,Rebalance_2pm,1.6732,1.8642,70.5,209.0,78.5,-11.415252211331595,PASS,1.5,48.0,2.0,,,,
246.33,1.7096,5.07,434,0.17,74.2,0.642,0.669,2.761,2511,US.TQQQ,Rebalance_2pm,1.6717,1.7866,54.85,159.0,77.4,-6.873242806723701,PASS,2.0,48.0,1.0,,,,
204.51,1.3134,6.4,434,0.17,74.7,0.64,0.807,2.335,2511,US.TQQQ,Rebalance_2pm,1.3362,1.2715,46.06,159.0,77.4,4.842089507558745,PASS,2.0,48.0,1.5,,,,
175.4,1.0383,7.56,434,0.17,74.7,0.64,0.901,2.09,2511,US.TQQQ,Rebalance_2pm,1.0646,0.9895,40.94,159.0,77.4,7.054292692090924,PASS,2.0,48.0,2.0,,,,
838.73,0.6087,61.61,2318,0.92,55.8,2.289,2.546,1.136,2511,US.TQQQ,VWAP_Trend,0.3965,1.0398,328.21,771.0,57.2,-162.24464060529633,PASS,,,,3.0,50.0,1.0,9.0
823.56,0.6052,61.47,2319,0.92,55.7,2.295,2.538,1.136,2511,US.TQQQ,VWAP_Trend,0.3947,1.0332,323.81,771.0,57.1,-161.76843172029388,PASS,,,,2.0,50.0,1.0,9.0
813.87,0.6031,61.83,2318,0.92,55.8,2.287,2.546,1.135,2511,US.TQQQ,VWAP_Trend,0.39,1.0358,325.54,771.0,57.2,-165.5897435897436,PASS,,,,4.0,50.0,1.0,9.0
549.52,0.5306,59.86,2320,0.92,55.6,2.316,2.586,1.12,2511,US.TQQQ,VWAP_Trend,0.3071,0.9864,296.78,772.0,57.3,-221.19830674047546,PASS,,,,3.0,45.0,1.0,9.0
541.42,0.528,59.63,2321,0.92,55.4,2.322,2.578,1.119,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,45.0,1.0,9.0
533.55,0.5255,60.08,2320,0.92,55.6,2.314,2.586,1.119,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,45.0,1.0,9.0
