strategy,symbol,train_rank,train_sharpe,train_return_pct,overfit_pct,p_fast_ma,p_slow_ma,p_rsi_period,p_vol_threshold,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate_pct,profit_factor,buy_hold_return_pct,vs_benchmark_pct,p_bb_period,p_bb_std,p_rsi_oversold,p_rsi_overbought,p_lookback,p_atr_mult,p_rsi_buy,p_rsi_sell
momentum,US.TQQQ,5,0.3731,150.61,-226.1,8.0,15.0,10.0,1.0,270.83,47.35,23.21,1.2166,1.8467,2.0404,26,61.54,2.5191,455.87,-185.04,,,,,,,,
breakout,US.SOXL,7,-0.2118,-18.6,672.2,,,,1.5,373.13,58.36,38.17,1.212,2.0479,1.529,4,100.0,inf,652.72,-279.59,,,,,10.0,1.5,,
breakout,US.TQQQ,5,-0.3698,-14.17,427.0,,,,1.2,222.64,41.41,31.56,1.2092,1.9117,1.3118,9,55.56,5.3986,455.87,-233.23,,,,,10.0,1.5,,
breakout,US.SOXL,2,0.2144,58.37,-460.5,,,,1.2,539.8,73.14,53.73,1.2018,1.8702,1.3613,10,80.0,7.9925,652.72,-112.92,,,,,10.0,1.5,,
momentum,US.TQQQ,8,0.316,116.09,-240.4,8.0,15.0,10.0,1.3,180.92,35.73,20.6,1.0758,1.6298,1.7349,22,54.55,2.4633,455.87,-274.95,,,,,,,,
breakout,US.SOXL,4,-0.0481,-28.76,2317.9,,,,1.2,390.24,60.03,44.82,1.0668,1.6891,1.3393,9,77.78,11.2587,652.72,-262.48,,,,,20.0,1.5,,
mean_reversion,US.SOXL,1,0.4605,218.05,-129.7,,,10.0,,440.14,64.69,50.19,1.0578,1.6943,1.2889,21,76.19,5.8129,652.72,-212.58,20.0,2.0,25.0,70.0,,,,
mean_reversion,US.SOXL,2,0.4605,218.05,-129.7,,,10.0,,440.14,64.69,50.19,1.0578,1.6943,1.2889,21,76.19,5.8129,652.72,-212.58,20.0,2.0,25.0,75.0,,,,
mean_reversion,US.SOXL,3,0.4579,211.25,-126.8,,,10.0,,430.87,63.84,50.17,1.0386,1.6358,1.2726,25,80.0,5.7035,652.72,-221.86,20.0,2.0,30.0,70.0,,,,
mean_reversion,US.SOXL,4,0.4579,211.25,-126.8,,,10.0,,430.87,63.84,50.17,1.0386,1.6358,1.2726,25,80.0,5.7035,652.72,-221.86,20.0,2.0,30.0,75.0,,,,
breakout,US.TQQQ,6,-0.4924,-19.52,310.6,,,,1.2,185.62,36.4,28.83,1.0371,1.5846,1.2623,8,75.0,13.3928,455.87,-270.25,,,,,10.0,2.0,,
rsi_reversal,US.SOXL,2,0.3383,85.19,-189.4,,,5.0,,388.67,59.88,58.78,0.979,1.5642,1.0186,60,61.67,2.0311,652.72,-264.05,,,,,,,25.0,75.0
rsi_reversal,US.SOXL,1,0.3383,85.19,-189.4,,,5.0,,388.67,59.88,58.78,0.979,1.5642,1.0186,60,61.67,2.0311,652.72,-264.05,,,,,,,25.0,70.0
rsi_reversal,US.SOXL,4,0.2941,42.0,-229.1,,,5.0,,382.82,59.31,59.0,0.968,1.5394,1.0052,64,62.5,1.9455,652.72,-269.9,,,,,,,30.0,75.0
rsi_reversal,US.SOXL,3,0.2941,42.0,-229.1,,,5.0,,382.82,59.31,59.0,0.968,1.5394,1.0052,64,62.5,1.9455,652.72,-269.9,,,,,,,30.0,70.0
breakout,US.SOXL,8,-0.2244,-23.13,530.3,,,,1.5,208.05,39.48,39.81,0.9656,1.5984,0.9917,3,100.0,inf,652.72,-444.68,,,,,20.0,1.5,,
